Names,No. Observations,Baseline (days)
1130_01,44,418
1233_01,61,101
1796_01,192,5169
1821_01,2,2
1827_01,12,2533
1833_01,43,3
1839_01,0,0
1847_01,9,62
1847_02,9,62
185_01,73,4108
1861_01,0,0
1901_01,3,1
1904_01,3,2
1905_01,101,1436
1914_01,5,138
1915_01,5,213
1917_01,2,0
1919_01,26,576
1920_01,8,1521
1922_01,17,427
1923_01,8,263
1926_01,14,129
1927_01,4,4
1929_01,2,0
1933_01,10,265
1934_01,48,246
1946_01,18,397
1963_01,0,0
1970_01,20,19
2000_01,0,0
2008_01,0,0
2011_01,0,0
2194_01,0,0
2196_01,0,0
2197_01,21,1008
2199_01,14,247
2202_01,26,137
2221_01,63,5803
2224_01,0,0
2328_01,12,67
2330_01,26,1085
2338_01,0,0
2339_01,0,0
2386_01,44,1878
2403_01,279,2130
2404_01,0,0
2425_01,13,112
2426_01,0,0
2427_01,0,0
2447_01,0,0
2449_01,0,0
2450_01,0,0
2473_01,0,0
2488_01,0,0
2503_01,7,31
2526_01,0,0
2529_01,0,0
2534_01,0,0
2537_01,0,0
2540_01,7,5492
2540_02,7,5492
2548_01,30,300
2553_01,0,0
2556_01,0,0
2560_01,2,2
256_01,439,1474
2589_01,0,0
2603_01,6,58
2604_01,13,640
2634_01,0,0
2643_01,7,24
2670_01,0,0
2698_01,1,0
270_01,58,88
2832_01,5,378
3084_01,2,2
3099_01,7,271
3101_01,3,376
3119_01,3,47
3121_01,1,0
3167_01,1,0
3185_01,6,4
3218_01,6,31
3254_01,2,257
3271_01,2,0
3277_01,2,0
3278_01,3,2
3283_01,3,1
3287_01,3,163
3295_01,3,143
3296_01,2,0
3327_01,1,0
3400_01,2,0
3418_01,1,0
3430_01,31,739
3497_01,8,66
3837_01,0,0
4227_01,2,1
4304_01,589,811
4316_01,6,240
4317_01,0,0
431_01,176,5761
4320_01,0,0
4320_02,0,0
4324_01,24,874
4326_01,28,11
4339_01,0,0
4399_01,0,0
4406_01,8,26
4409_01,12,63
4470_01,117,395
4507_02,12,127
4512_01,4,309
4517_01,261,5085
4518_01,33,2
4523_01,0,0
4527_01,5,3
4533_01,9,399
4534_01,4,21
4535_01,4,3
455_01,56,5788
4563_01,0,0
4601_01,4,1
4604_01,2,0
4606_01,8,3
4611_01,3,303
4621_01,7,95
4624_01,0,0
4625_01,0,0
500_01,198,367
576_01,220,718
656_01,187,2898
664_01,349,34
731_01,111,6256
828_01,56,68
1793_01,15,321
1773_01,88,47
1338_01,24,947
1233_04,61,101
1233_03,61,101
1233_02,61,101
1229_01,0,0
1203_01,47,358
1130_02,44,418
1129_01,1,0
1113_01,51,4189
1099_01,51,4189
1097_01,7,7
1084_01,2,1
1078_01,53,4146
1076_01,3,1
1071_01,3,162
1066_01,3,1
1064_02,18,51
1064_01,18,51
1063_01,1,0
1062_01,89,138
1060_01,0,0
1055_01,56,2868
1054_01,35,417
1052_01,0,0
1050_01,85,3008
1049_01,11,54
1036_01,0,0
1027_02,8,7
1027_01,8,7
1011_01,64,5844
969_01,1,0
966_01,27,79
954_01,3,1
952_01,0,0
943_01,0,0
941_01,2,1
938_01,2,1
923_01,7,11
912_01,22,48
909_01,46,5183
908_01,0,0
907_01,6,28
905_01,2,1
903_01,3,7
899_01,9,62
883_01,14,264
880_03,13,251
880_02,13,251
880_01,13,251
878_01,5,10
858_01,7,1
855_01,5,23
853_01,7,142
851_01,4,3
849_01,33,152
843_01,8,52
840_01,3,1
839_01,2,291
836_02,16,261
836_01,16,261
829_01,16,37
826_01,55,103
824_01,8,16
823_01,4,11
822_02,23,391
822_01,23,391
820_01,54,3667
819_01,26,738
818_01,78,1037
813_01,18,218
812_01,0,0
793_01,0,0
780_01,99,2210
776_02,29,47
776_01,29,47
774_01,39,1750
772_01,3,5
770_01,16,583
769_01,35,38
767_01,54,138
763_02,77,72
763_01,77,72
759_01,24,653
757_01,1,0
755_01,115,248
754_01,3,2
752_01,39,442
751_01,4,47
750_01,1,0
748_01,19,0
747_01,17,30
745_01,0,0
744_01,12,715
741_01,57,3331
735_01,3,2
732_02,33,247
732_01,33,247
704_01,86,5942
701_01,22,663
700_03,61,213
700_02,61,213
700_01,61,213
697_01,6,12
696_03,44,128
696_02,44,128
696_01,44,128
685_01,21,122
683_01,56,2193
680_01,3,1
675_01,169,782
674_01,17,54
668_01,26,660
667_01,129,745
663_03,15,21
663_02,15,21
663_01,15,21
660_01,54,289
655_01,90,3658
654_01,13,57
646_01,0,0
641_01,0,0
623_01,24,703
622_01,0,0
618_01,8,269
603_01,3,4
602_01,2,3
585_01,1,0
574_01,4,5
570_01,3,3
567_01,25,1713
562_01,53,3349
560_02,99,5880
560_01,99,5880
551_01,8,11
548_01,19,80
547_01,52,1573
546_01,25,1537
545_01,18,51
544_01,6,666
540_01,3,3
537_01,15,1030
536_01,16,1025
535_01,14,487
534_01,15,84
522_01,1,0
514_01,2,2
510_01,0,0
502_01,0,0
499_01,2,3
495_01,0,0
